Buenos Aires,Capital Federal,Catamarca,Chaco,Chubut,Corrientes,Córdoba,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago Del Estero,Tierra Del Fuego,Tucumán
541739.2567881752,550304.0891651538,577318.8550399442,747929.2018822716,779886.8675349968,792759.9974944157,858745.1668592463,946790.3046842584,866646.5344302813,700484.1239136835,1265342.8649826844,1600358.441001931,1626687.545080291,1463518.1850781809,1872825.9623194986,2065681.4306036043,2256865.973903968,2519971.7532776585,778503.2054828154,3446126.578344752,3453169.513319469,3653665.2172775185,3363505.1343714767,4690295.096916712
543036.732255495,551806.2369989066,578551.3137118806,758118.3119954907,797017.6661889675,820674.0819132333,855365.3448864063,956903.9233867201,1191841.472349681,709876.4283433218,1252821.7021375597,1586047.3040878396,1622299.39416289,1495189.9287475084,1833859.4923622669,2079364.1859648875,2265943.363442042,2546245.6078043208,778503.2054828154,3423529.0270113433,3469248.8190173274,3681858.68994585,4725931.063800167,4727881.240238288
557395.4607604984,561751.4916223733,579607.706859255,783105.8915588623,818648.9288960998,831354.253343042,868479.0541410261,976742.175456932,1197916.0975910146,704725.8097851331,1265342.8649826844,1578269.5122867017,1667058.533520373,1517407.420575245,1841470.1310257881,2095534.7150282238,2237009.184289427,2553973.212076867,2690075.432806958,3361899.341556594,3515823.3596594017,3785234.756396401,4785772.566190826,4747243.798919099
558779.4345923059,560819.1240014231,567459.1856644526,790626.4252138578,618596.0429200713,839121.6507465388,879970.4488486834,1057456.6324092671,1204395.6978484374,1409754.597132513,1296028.5316735527,1566447.2687489737,1656965.7864103531,1628494.8797139316,1798241.7034169827,2150265.7364733624,2258000.647596226,2465105.762942573,3471147.9557996183,2433345.4140383657,3636695.3818019265,3905318.0659096655,4828074.317880773,4756355.591239482
572965.1663683334,565636.3567096648,566754.9235662034,791839.4145130503,624257.9170514684,852714.5962026588,885783.7426419682,1104523.857909183,1201965.8477519038,1406118.8663855563,1346465.8918665908,1561158.3703242012,1652577.635492952,1714055.8588803236,1792457.6180327067,2221167.2869818364,2275020.752980117,2459696.439951791,3460356.8222582717,2431291.0911898743,3713210.6985710477,3917848.498206702,4817240.942447983,4741548.928718863
586891.4030508973,572629.11386679,565698.5304188292,828229.0934888336,682183.2447034533,926262.1403670209,920257.9267649387,1117943.8519566795,1231933.9989424841,1348553.1295587395,1359339.763524255,1515113.8428614705,1788171.4988406214,1850669.797991304,1920316.347579876,2532968.257638984,2376574.0484373355,2751027.121026822,4202889.582603269,2963360.7089492134,3738161.345343586,5512346.00800458,4890495.195374476,4571841.796751743
599952.6560885811,583506.7361112066,543690.3398485355,869713.3275212273,690603.4677706592,934272.2689393773,927287.9564684464,1126112.5439855908,1219379.7734437278,1342796.555876058,1365864.8765562214,1491469.3557860136,1787732.6837488818,1859178.6246487352,1952585.4555132105,2629576.803068659,2523514.2915849276,2863850.1434060126,4379658.627280555,3659776.1545878854,3818557.873832882,5774440.883550924,4976130.448795592,4497808.484148639
555751.9918352271,550355.8873663179,641582.7715052018,893730.5156452443,742576.5687716882,941068.7416674376,952839.4105831184,1127862.9779917863,1233958.8740229288,1374912.177474177,1356518.093023945,1466580.4220223764,1476612.7837052003,1880923.4038843925,1807070.044266669,2309897.882355014,2856541.020263066,2538518.0035317726,3849865.356750664,3770709.5884064334,3852379.861680101,4481717.951573338,4111523.914254702,5427211.300827619
556443.9787511306,548957.3359348925,662358.503403559,909256.7786749118,744318.6838890412,940097.816992,955678.4610403043,1091492.8491963963,1224239.4736367944,1413996.2830039626,1336237.3363029682,1442002.5999307837,1454233.2140264593,1844524.5342942702,1882872.005355348,2285434.7742848387,2813990.756803338,2502971.0238780556,3921292.383524336,3694699.6430122433,3854597.696948772,4434728.830459452,3924261.2817735905,5449990.781628574
564142.3331905605,551184.6585849398,799865.6780867543,966267.275736973,832440.6735751439,978206.6105029077,982987.4225808536,1099661.5412253076,1261092.2001008857,1450959.5455980236,1342057.0317098575,1550580.5734746547,1590704.7075576086,1932921.78901314,1945279.2423962292,2337263.393077582,2926323.4523370196,2711616.339236831,4029203.718937795,3676210.737375817,3881211.720172814,4539149.099601422,3939737.532391865,5897607.579367346
