anio,trimestre,provincia,accesos por cada 100 hogares,variacion de los accesos por cada 100 hogares
2017,2,Entre Ríos,45.39,0.010688042752171167
2017,2,Formosa,19.97,0.0065524193548387455
2017,2,Jujuy,22.4,-0.015817223198594133
2017,2,La Pampa,63.49,0.013084410403702007
2017,2,La Rioja,16.2,0.0
2017,2,Mendoza,31.76,-0.002512562814070307
2017,2,Misiones,30.09,0.019308943089430874
2017,2,Neuquén,61.91,0.014585381842018963
2017,2,Río Negro,46.02,-0.0002172496198131757
2017,2,Salta,32.74,0.0049109883364029105
2017,2,San Juan,26.96,-0.002958579881656709
2017,2,San Luis,9.51,-0.004188481675392763
2017,2,Santa Cruz,26.25,-0.010180995475113086
2017,2,Santa Fe,52.27,0.005772561092938222
2017,2,Santiago Del Estero,14.12,-0.039455782312925125
2017,2,Tierra Del Fuego,68.46,-0.00667440510737094
2017,2,Tucumán,38.19,0.007651715039577844
2017,3,Buenos Aires,55.63,-0.011373733783543671
2017,3,Capital Federal,121.86,-0.017733354828308956
2017,3,Catamarca,32.49,0.2505773672055427
2017,3,Chaco,29.98,0.03201376936316702
2017,3,Chubut,46.22,0.3001406469760901
2017,3,Córdoba,62.31,0.0566389689672715
2017,3,Corrientes,32.17,0.02484867792290535
2017,3,Entre Ríos,45.96,0.012557832121612655
2017,3,Formosa,21.35,0.06910365548322495
2017,3,Jujuy,22.65,0.01116071428571419
2017,3,La Pampa,69.14,0.08899039218774618
2017,3,La Rioja,51.47,2.1771604938271607
2017,3,Mendoza,35.7,0.12405541561712852
2017,3,Misiones,30.21,0.003988035892322994
2017,3,Neuquén,60.83,-0.01744467775803582
2017,3,Río Negro,48.52,0.05432420686657968
2017,3,Salta,39.84,0.21686010995723892
2017,3,San Juan,32.37,0.20066765578635004
2017,3,San Luis,15.48,0.6277602523659307
2017,3,Santa Cruz,33.29,0.2681904761904761
2017,3,Santa Fe,60.91,0.16529558063898975
2017,3,Santiago Del Estero,35.12,1.4872521246458925
2017,3,Tierra Del Fuego,65.74,-0.039731229915279
2017,3,Tucumán,39.7,0.03953914637339628
2017,4,Buenos Aires,57.61,0.03559230630954513
2017,4,Capital Federal,122.9,0.008534383719021932
2017,4,Catamarca,28.62,-0.11911357340720219
2017,4,Chaco,30.81,0.027685123415610358
2017,4,Chubut,51.46,0.11337083513630475
2017,4,Córdoba,63.33,0.016369764082811766
2017,4,Corrientes,32.52,0.010879701585327917
2017,4,Entre Ríos,47.89,0.04199303742384686
2017,4,Formosa,21.27,-0.0037470725995316645
2017,4,Jujuy,22.74,0.003973509933774766
2017,4,La Pampa,71.05,0.02762510847555677
2017,4,La Rioja,51.57,0.0019428793471925054
2017,4,Mendoza,33.33,-0.06638655462184884
2017,4,Misiones,31.14,0.030784508440913516
2017,4,Neuquén,61.24,0.006740095347690378
2017,4,Río Negro,49.38,0.017724649629018874
2017,4,Salta,39.8,-0.0010040160642571516
2017,4,San Juan,30.3,-0.06394810009267826
2017,4,San Luis,10.59,-0.31589147286821706
2017,4,Santa Cruz,28.91,-0.13157104235506156
2017,4,Santa Fe,61.71,0.013134132326383163
2017,4,Santiago Del Estero,29.13,-0.17055808656036442
2017,4,Tierra Del Fuego,59.89,-0.08898691816245807
2017,4,Tucumán,39.9,0.005037783375314797
2018,1,Buenos Aires,62.63,0.08713764971359139
2018,1,Capital Federal,106.24,-0.13555736371033367
2018,1,Catamarca,32.79,0.1457023060796645
2018,1,Chaco,30.83,0.0006491398896462108
2018,1,Chubut,53.72,0.04391760590750082
2018,1,Córdoba,63.52,0.00300015790304764
2018,1,Corrientes,32.66,0.004305043050430335
2018,1,Entre Ríos,48.68,0.0164961369805805
2018,1,Formosa,21.4,0.00611189468735307
2018,1,Jujuy,23.12,0.01671064204045747
2018,1,La Pampa,71.75,0.009852216748768461
2018,1,La Rioja,51.44,-0.0025208454527826385
2018,1,Mendoza,37.07,0.11221122112211224
2018,1,Misiones,30.96,-0.00578034682080919
2018,1,Neuquén,61.52,0.004572175048987548
2018,1,Río Negro,49.82,0.008910490076954103
2018,1,Salta,39.78,-0.0005025125628139726
2018,1,San Juan,32.61,0.07623762376237608
2018,1,San Luis,15.15,0.4305949008498584
2018,1,Santa Cruz,33.55,0.16049809754410238
2018,1,Santa Fe,62.28,0.00923675255226053
2018,1,Santiago Del Estero,34.99,0.20116718159972558
2018,1,Tierra Del Fuego,65.2,0.08866254800467521
2018,1,Tucumán,41.18,0.032080200501253264
2018,2,Buenos Aires,62.78,0.002395018361807333
2018,2,Capital Federal,106.53,0.0027296686746989263
2018,2,Catamarca,32.86,0.002134797194266458
2018,2,Chaco,31.25,0.013623094388582668
2018,2,Chubut,54.9,0.02196574832464626
2018,2,Córdoba,63.27,-0.003935768261964734
2018,2,Corrientes,33.81,0.03521126760563398
2018,2,Entre Ríos,49.2,0.010682004930156141
2018,2,Formosa,29.43,0.37523364485981325
2018,2,Jujuy,23.43,0.013408304498269796
2018,2,La Pampa,71.04,-0.009895470383275207
2018,2,La Rioja,50.98,-0.008942457231726264
2018,2,Mendoza,36.97,-0.0026975991367683694
2018,2,Misiones,31.63,0.021640826873384977
2018,2,Neuquén,60.24,-0.020806241872561748
2018,2,Río Negro,50.15,0.006623845845042053
2018,2,Salta,39.94,0.004022121669180478
2018,2,San Juan,32.95,0.010426249616682037
2018,2,San Luis,15.15,0.0
2018,2,Santa Cruz,33.33,-0.006557377049180246
2018,2,Santa Fe,62.57,0.004656390494540696
2018,2,Santiago Del Estero,35.26,0.007716490425835776
2018,2,Tierra Del Fuego,91.61,0.40506134969325136
2018,2,Tucumán,41.51,0.008013598834385682
2018,3,Buenos Aires,64.44,0.026441541892322284
2018,3,Capital Federal,108.45,0.018023092086736137
2018,3,Catamarca,32.92,0.0018259281801582539
2018,3,Chaco,32.28,0.0329600000000001
2018,3,Chubut,56.39,0.02714025500910755
2018,3,Córdoba,64.24,0.015331120594278325
2018,3,Corrientes,34.25,0.013013901212658885
2018,3,Entre Ríos,50.22,0.02073170731707319
2018,3,Formosa,29.58,0.0050968399592252744
2018,3,Jujuy,23.26,-0.0072556551429789895
2018,3,La Pampa,71.75,0.009994369369369371
2018,3,La Rioja,50.73,-0.004903883876029802
2018,3,Mendoza,37.99,0.02758993778739538
2018,3,Misiones,32.1,0.0148593107809043
2018,3,Neuquén,60.49,0.004150066401062524
2018,3,Río Negro,50.54,0.007776669990029905
2018,3,Salta,39.43,-0.01276915373059584
2018,3,San Juan,33.05,0.003034901365705389
2018,3,San Luis,52.35,2.4554455445544554
2018,3,Santa Cruz,32.73,-0.018001800180018068
2018,3,Santa Fe,63.41,0.013424964040274823
2018,3,Santiago Del Estero,36.25,0.028077141236528602
