anio,trimestre,provincia,hasta_512kbps,512kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,mas_30mbps,otros,total
2017,4,Jujuy,345.0,5.364,26.566,7.721,3.507,44.0,3.0,0.0,435.15799999999996
2017,4,La Pampa,310.0,8.729,66.053,1.227,792.0,391.0,81.0,3.503,1653.512
2017,4,La Rioja,9.0,1.488,40.777,4.083,5.813,22.0,3.0,0.0,86.161
2017,4,Mendoza,26.0,1.656,177.646,438.0,278.0,29.0,81.0,0.0,1031.3020000000001
2017,4,Misiones,1.053,3.9,41.723,23.131,22.262,9.091,2.735,0.0,103.895
2017,4,Neuquén,1.396,2.372,68.036,1.325,22.781,7.528,6.3,6.105,115.843
2017,4,Río Negro,409.0,5.598,81.078,485.0,12.502,3.447,2.44,3.719,1002.7840000000001
2017,4,Salta,636.0,4.275,73.284,32.842,18.968,3.559,84.0,0.0,852.9279999999999
2017,4,San Juan,22.0,1.062,57.525,9.0,0.0,2.0,2.0,0.0,93.587
2017,4,San Luis,59.0,101.0,12.822,8.0,0.0,1.0,7.0,1.902,190.724
2017,4,Santa Cruz,68.0,78.0,29.073,655.0,100.0,1.0,3.0,0.0,934.073
2017,4,Santa Fe,3.109,34.132,309.998,108.939,151.329,30.736,19.602,14.119,671.964
2017,4,Santiago Del Estero,41.0,3.091,43.544,18.773,3.359,32.0,2.0,0.0,143.767
2017,4,Tierra Del Fuego,6.0,310.0,31.334,2.0,0.0,0.0,0.0,0.0,349.334
2017,4,Tucumán,105.0,8.164,78.75,45.241,24.318,1.303,4.367,0.0,267.143
2017,3,Buenos Aires,6.577,51.411,85.0123208955224,311.652,676.137,140.812,108.4,0.0,1380.0013208955224
2017,3,Capital Federal,283.0,33.924,590.689,311.411,426.3,120.675,91.917,0.0,1857.9159999999997
2017,3,Catamarca,52.0,3.204,15.383,5.758,2.563,50.0,1.0,0.0,129.90800000000002
2017,3,Chaco,95.0,3.496,40.059,23.008,20.307,3.827,2.004,0.0,187.701
2017,3,Chubut,436.0,3.989,71.843,2.336,3.0,0.0,0.0,0.0,517.168
2017,3,Córdoba,327.0,26.154,309.161,100.113,189.302,38.131,16.741,0.0,1006.6020000000001
2017,3,Corrientes,24.0,5.629,44.305,22.785,15.576,2.635,1.607,0.0,116.53699999999999
2017,3,Entre Ríos,1.691,7.545,98.032,42.947,29.011,3.878,2.397,0.0,185.50099999999998
2017,3,Formosa,1.063,3.716,13.752,5.187,6.056,899.0,459.0,0.0,1387.774
2017,3,Jujuy,337.0,5.723,26.835,7.369,2.962,41.0,2.0,0.0,422.889
2017,3,La Pampa,343.0,8.244,64.794,855.0,588.0,327.0,51.0,0.0,2237.038
2017,3,La Rioja,16.0,1.497,40.882,3.899,5.604,23.0,3.0,0.0,93.882
2017,3,Mendoza,32.0,95.0,158.461,115.0,67.0,29.0,19.0,0.0,515.461
2017,3,Misiones,1.058,4.123,42.9,22.808,23.913,3.843,1.881,0.0,100.526
2017,3,Neuquén,2.036,1.457,72.532,1.034,20.213,7.067,4.937,0.0,109.276
2017,3,Río Negro,422.0,5.641,83.9,306.0,10.116,2.965,1.659,0.0,832.2810000000001
2017,3,Salta,645.0,4.494,78.83,32.433,14.62,2.315,63.0,0.0,840.6920000000001
2017,3,San Juan,31.0,1.077,57.582,1.0,0.0,2.0,2.0,0.0,94.65899999999999
2017,3,San Luis,63.0,3.0,12.325,7.0,0.0,1.0,7.0,0.0,93.325
2017,3,Santa Cruz,188.0,23.0,29.102,542.0,66.0,33.0,1.0,0.0,882.102
2017,3,Santa Fe,3.116,34.019,320.017,104.453,125.339,24.536,12.982,0.0,624.462
2017,3,Santiago Del Estero,69.0,3.288,40.435,18.489,3.047,30.0,2.0,0.0,166.259
2017,3,Tierra Del Fuego,9.0,297.0,33.858,0.0,0.0,0.0,0.0,0.0,339.858
2017,3,Tucumán,109.0,8.948,83.07,45.302,20.514,1.361,655.0,0.0,923.1949999999999
2017,2,Buenos Aires,7.548,47.472,85.0123208955224,299.009,573.298,93.059,46.178,0.0,1151.5763208955223
2017,2,Capital Federal,556.0,35.663,726.223,304.97,378.571,80.234,37.977,0.0,2119.638
2017,2,Catamarca,15.0,3.318,15.655,5.325,2.342,47.0,1.0,0.0,89.64
2017,2,Chaco,191.0,3.733,42.59,22.349,18.044,3.157,545.0,0.0,825.873
2017,2,Chubut,403.0,4.186,73.76,1.88,0.0,0.0,0.0,0.0,482.82599999999996
2017,2,Córdoba,251.0,26.862,370.865,88.479,146.683,20.351,5.069,0.0,909.3090000000001
2017,2,Corrientes,15.0,5.912,46.483,21.776,13.043,2.218,647.0,0.0,751.432
2017,2,Entre Ríos,1.68,7.944,104.422,41.8,23.524,2.604,823.0,0.0,1004.974
2017,2,Formosa,1.486,3.419,14.787,4.795,4.583,749.0,139.0,0.0,917.07
2017,2,Jujuy,311.0,5.877,26.915,6.974,2.538,42.0,1.0,0.0,396.30400000000003
2017,2,La Pampa,356.0,8.633,59.045,558.0,336.0,244.0,21.0,0.0,1582.6779999999999
2017,2,La Rioja,9.0,1.554,9.304,3.599,1.796,24.0,2.0,0.0,51.253
2017,2,Mendoza,109.0,24.0,177.203,92.0,50.0,5.0,22.0,0.0,479.203
2017,2,Misiones,1.011,4.447,47.244,22.033,21.599,2.892,570.0,0.0,669.226
2017,2,Neuquén,1.542,1.395,81.272,849.0,18.051,4.774,1.703,0.0,957.7370000000001
2017,2,Río Negro,973.0,5.606,88.085,245.0,7.99,1.921,559.0,0.0,1880.602
2017,2,Salta,594.0,4.719,67.576,23.185,11.333,1.068,76.0,0.0,777.881
2017,2,San Juan,15.0,193.0,58.588,0.0,0.0,0.0,4.0,0.0,270.588
2017,2,San Luis,8.0,4.0,14.014,0.0,0.0,1.0,2.0,0.0,29.014
2017,2,Santa Cruz,188.0,24.0,30.913,541.0,66.0,33.0,0.0,0.0,882.913
2017,2,Santa Fe,4.967,38.721,311.83,92.854,97.563,16.794,4.275,0.0,567.0039999999999
